,StartDate,BatchNumber,CustItem,Dryer,Flow,Hygroscopicity,Bulk Density,Moisture,ScheduledDryQty,ActualDryQty,YieldPercentage,DryingTime_Hrs,CleanTime_Hrs,DownTime_Hrs,TotalRunTime_Hrs,ProdLine,Rate
0,2016-01-02 08:54:58.000,NJSD313825,10013-0000,Dryer 04,Good,Medium,Target = 0.30 g/mL,2 to 4% Max,333.7357,352.2,105.5,2.4,5.1,0.0,7.5,Fragrance,146.75
1,2016-01-02 11:06:57.863,NJSD312807,10558-0000,Dryer 03,Good,Medium,Record,10% Max.,4270.412,3935.3999,92.2,8.4,0.2,4.2,12.8,Fragrance,468.49998809523805
2,2016-01-02 21:40:51.470,NJSD313826,10447-0000,Dryer 04,Good,Medium,,3% Max,1353.0969,1195.9,88.4,9.7,5.7,0.9,16.2,Fragrance,123.28865979381445
3,2016-01-02 22:45:11.673,NJSD312677,24164-0000,Dryer 02,Good,Medium,,5% Max,19549.0975,18185.1,93.0,54.2,11.1,7.6,72.8,Flavors,335.5184501845018
4,2016-01-03 00:10:32.910,NJSD314508,10558-0000,Dryer 03,Good,Medium,Record,10% Max.,4282.172,3373.1999,78.8,8.2,0.1,3.5,11.8,Fragrance,411.36584146341465
5,2016-01-03 04:40:12.290,NJSD313118,23142-0000,Dryer 01,Good,Medium,,5% Max,14115.4267,13279.0996,94.1,43.7,5.3,0.7,49.7,Flavors,303.8695560640732
6,2016-01-03 05:09:32.667,PASD313468,10456-0000,Dryer 08,Good,Medium,,0.028,26941.1765,23100.0,85.7,43.1,32.3,0.7,76.2,Nutraceutical,535.9628770301624
7,2016-01-03 07:36:21.000,NJSD314509,10558-0000,Dryer 03,Good,Medium,Record,10% Max.,4280.212,3185.7999,74.4,7.0,1.5,9.4,17.8,Fragrance,455.11427142857144
8,2016-01-03 10:20:41.000,NJSD313590,40080-0000,Dryer 04,Good,Medium,,Less Than 4%,5779.7773,4592.2999,79.5,52.4,5.1,8.3,65.8,Fragrance,87.6393110687023
9,2016-01-03 13:58:36.000,PASD313912,40556-0000,Dryer 09,Good,Medium,,5% Max,393.6016,350.0,88.9,0.0,0.0,0.0,0.0,Flavors,
10,2016-01-04 05:48:38.047,NJSD314511,10558-0000,Dryer 03,Good,Medium,Record,10% Max.,4283.152,3185.7999,74.4,7.2,0.1,0.0,7.3,Fragrance,442.4722083333333
11,2016-01-04 13:26:40.917,NJSD314512,10558-0000,Dryer 03,Good,Medium,Record,10% Max.,3015.7025,2671.3999,88.6,5.2,28.9,0.6,34.8,Fragrance,513.73075
12,2016-01-05 02:37:15.000,NJSD313951,23169-0000,Dryer 01,Good,Low,,5% Max,13480.6315,12342.3997,91.6,35.5,7.0,3.4,45.8,Flavors,347.6732309859155
13,2016-01-05 03:52:44.097,PASD314541,40738-0000,Dryer 09,Good,Medium,,5% Max,432.963,388.9,89.8,27.6,6.0,0.0,33.6,Flavors,14.090579710144926
14,2016-01-05 14:33:44.560,NJSD314063,40742-0000,Dryer 04,Good,Medium,,TARGET 3% (Max 5%),234.9988,190.6,81.1,2.0,6.2,0.0,8.2,Fragrance,95.3
15,2016-01-05 15:33:19.000,NJSD314547,15215-0000,Dryer 03,Good,Medium,,Target 2% to 3% (MAX 5%),12318.7125,11232.9997,91.2,23.6,11.5,4.3,39.3,Flavors,475.974563559322
16,2016-01-05 16:26:23.280,PASD314352,10091-0000,Dryer 07,Poor,Medium,Tapped 0.5 - 0.7,5% Max,5400.8864,4407.9999,81.6,56.0,0.1,12.5,68.7,Nutraceutical,78.71428392857142
17,2016-01-06 00:44:09.990,NJSD313946,23302-0000,Dryer 02,Good,Medium,,5% Max,9348.4885,9000.0,96.3,20.8,10.6,2.7,34.1,Flavors,432.6923076923077
18,2016-01-06 14:30:21.370,PASD313915,23489-0000,Dryer 09,Good,Medium,,5% MAX,575.64,518.8,90.1,27.5,13.4,0.0,41.0,Flavors,18.865454545454543
19,2016-01-06 15:45:41.937,PASD314626,40757-0000,Dryer 08,Good,Medium,.40 g Target. (35g-55g),Target 2.5% (5% MAX),2140.05,2036.4999,95.2,2.4,15.6,0.0,17.9,Vitamin,848.5416250000001
20,2016-01-06 21:28:06.777,NJSD314393,10339-0000,Dryer 04,Good,Medium,,0.018,767.3215,693.5,90.4,5.3,5.8,0.1,11.3,Fragrance,130.8490566037736
21,2016-01-07 06:28:59.873,NJSD313944,23159-0000,Dryer 01,Good,Medium,,6% MAX,1138.8487,1032.6,90.7,3.2,4.3,0.7,8.3,Flavors,322.68749999999994
22,2016-01-07 09:01:10.610,NJSD314395,10196-0000,Dryer 04,Good,Medium,,4% Max,999.706,877.2,87.7,7.9,4.7,0.5,13.1,Fragrance,111.0379746835443
23,2016-01-07 11:26:32.793,PASD313471,23480-0000,Dryer 08,Good,Medium,35g - 55g per 100cc,4% Max,5306.1352,5025.0,94.7,7.0,0.9,0.0,7.9,Vitamin,717.8571428571429
24,2016-01-07 11:34:11.343,NJSD313992,10682-0000,Dryer 02,Good,Medium,,5% Max,5097.12,4848.4999,95.1,9.0,7.2,0.2,16.4,Flavors,538.722211111111
25,2016-01-07 15:28:18.000,NJSD312674,40141-0000,Dryer 01,Good,Medium,,5% Max,1227.1159,950.0,77.4,4.2,6.1,4.7,15.0,Flavors,226.19047619047618
26,2016-01-07 16:29:12.137,NJSD313922,23329-0000,Dryer 03,Good,Medium,,5 % Max.,1248.477,967.0,77.5,2.9,7.8,0.0,10.7,Flavors,333.44827586206895
27,2016-01-07 21:17:44.480,PASD313565,10242-0000,Dryer 08,Good,Medium,0.35g - 0.55 g/cc,4% Max,6043.9284,5900.0,97.6,9.1,10.5,1.4,21.0,Vitamin,648.3516483516484
28,2016-01-07 22:26:39.827,NJSD314523,23577-0000,Dryer 04,Good,Medium,,3% Max,54.0685,40.0,74.0,0.4,6.0,0.0,6.4,Fragrance,100.0
29,2016-01-07 22:34:03.000,NJSD313134,15074-0000,Dryer 03,Good,Medium,,5% Max,32269.1021,25640.0,79.5,78.9,8.5,30.9,118.3,Flavors,324.96831432192647
30,2016-01-08 05:17:01.720,NJSD314527,23940-0000,Dryer 04,Good,Medium, 0.47 to 0.55 g/cc (Tapped),1.7% Max,284.0905,233.6,82.2,2.0,6.4,0.2,8.6,Fragrance,116.8
31,2016-01-08 05:45:34.113,NJSD314291,23080-0000,Dryer 02,Good,High,0.50 - 0.70 g/ml (Not Tapped),5% Max,16541.6982,14601.4996,88.3,67.3,13.3,9.1,89.7,Nutraceutical,216.96136106983656
32,2016-01-08 09:45:07.000,NJSD310874,10675-0000,Dryer 04,Good,Medium,0.47 to 0.55 g/cc,1.7% Max,8888.8162,6051.9997,68.1,60.1,0.1,7.9,68.2,Fragrance,100.6988302828619
